Input velocities or energy: 
Starting time t0, initial position (r0, phi0), initial derivative (vr0, vphi0), and final t point t1: 
Read: t0=0 r0=10 phi0=0 vr0=0 vphi0=0.005 t1=200
Number of time steps n = 20001
Initial energy, angular momentum, and eccentricity are E_ini = -0.09875, L_ini = 0.5, and eccen_ini = 0.975 
t 	 r 	 phi 	 vr 	 vphi 	 x(t) 	 y(t) 	 E(t) 	 L(t) 	 (E_ini - E(t)) / E_ini 	 (L_ini - L(t)) / L_ini 	 (eccen_ini - eccen_t) / eccen_ini 
------------
0.0 	 1.000000000000000e+01 	 0.000000000000000e+00 	 0.000000000000000e+00 	 5.000000000000000e-03 	 1.000000000000000e+01 	 0.000000000000000e+00 	 -9.875000000000000e-02 	 5.000000000000000e-01 	 -0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
0.0 	 9.999999512499992e+00 	 5.000000162500007e-05 	 -9.750000312812517e-05 	 5.000000487500044e-03 	 9.999999499999991e+00 	 4.999999916666661e-04 	 -9.875000000000000e-02 	 5.000000000000000e-01 	 -0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
0.0 	 9.999998049999874e+00 	 1.000000130000028e-04 	 -1.950000250250053e-04 	 5.000001950000696e-03 	 9.999997999999870e+00 	 9.999999333333226e-04 	 -9.875000000000000e-02 	 4.999999999999999e-01 	 -0.000000000000000e+00 	 1.110223024625157e-16 	 0.000000000000000e+00 
0.0 	 9.999995612499365e+00 	 1.500000438750211e-04 	 -2.925000844594153e-04 	 5.000004387503521e-03 	 9.999995499999349e+00 	 1.499999774999921e-03 	 -9.875000000000002e-02 	 4.999999999999999e-01 	 -1.405345600791337e-16 	 2.220446049250313e-16 	 0.000000000000000e+00 
0.0 	 9.999992199997997e+00 	 2.000001040000890e-04 	 -3.900002002001696e-04 	 5.000007800011128e-03 	 9.999991999997945e+00 	 1.999999466666334e-03 	 -9.875000000000002e-02 	 4.999999999999999e-01 	 -1.405345600791337e-16 	 1.110223024625157e-16 	 0.000000000000000e+00 
0.1 	 9.999987812495112e+00 	 2.500002031252716e-04 	 -4.875003910161425e-04 	 5.000012187527168e-03 	 9.999987499994987e+00 	 2.499998958332320e-03 	 -9.875000000000000e-02 	 5.000000000000000e-01 	 -0.000000000000000e+00 	 0.000000000000000e+00 	 0.000000000000000e+00 
0.1 	 9.999982449989865e+00 	 3.000003510006759e-04 	 -5.850006756762876e-04 	 5.000017550056335e-03 	 9.999981999989606e+00 	 2.999998199997480e-03 	 -9.874999999999999e-02 	 5.000000000000000e-01 	 1.405345600791337e-16 	 0.000000000000000e+00 	 0.000000000000000e+00 
0.1 	 9.999976112481223e+00 	 3.500005573764610e-04 	 -6.825010729496579e-04 	 5.000023887604369e-03 	 9.999975499980740e+00 	 3.499997141661220e-03 	 -9.875000000000000e-02 	 4.999999999999999e-01 	 -0.000000000000000e+00 	 1.110223024625157e-16 	 0.000000000000000e+00 
0.1 	 9.999968799967967e+00 	 4.000008320028486e-04 	 -7.800016016054256e-04 	 5.000031200178049e-03 	 9.999967999967145e+00 	 3.999995733322715e-03 	 -9.875000000000002e-02 	 4.999999999999998e-01 	 -1.405345600791337e-16 	 3.330669073875470e-16 	 0.000000000000000e+00 
0.1 	 9.999960512448689e+00 	 4.500011846301334e-04 	 -8.775022804129022e-04 	 5.000039487785201e-03 	 9.999959499947373e+00 	 4.499993924980868e-03 	 -9.875000000000002e-02 	 4.999999999999999e-01 	 -1.405345600791337e-16 	 2.220446049250313e-16 	 0.000000000000000e+00 
0.1 	 9.999951249921795e+00 	 5.000016250086936e-04 	 -9.750031281415576e-04 	 5.000048750434692e-03 	 9.999949999919789e+00 	 4.999991666634267e-03 	 -9.875000000000002e-02 	 4.999999999999999e-01 	 -1.405345600791337e-16 	 2.220446049250313e-16 	 0.000000000000000e+00 
0.1 	 9.999941012385500e+00 	 5.500021628890013e-04 	 -1.072504163561041e-03 	 5.000058988136433e-03 	 9.999939499882565e+00 	 5.499988908281156e-03 	 -9.875000000000002e-02 	 4.999999999999998e-01 	 -1.405345600791337e-16 	 3.330669073875470e-16 	 0.000000000000000e+00 
0.1 	 9.999929799837835e+00 	 6.000028080216328e-04 	 -1.170005405441201e-03 	 5.000070200901379e-03 	 9.999927999833677e+00 	 5.999985599919384e-03 	 -9.875000000000002e-02 	 4.999999999999998e-01 	 -1.405345600791337e-16 	 4.440892098500626e-16 	 0.000000000000000e+00 
0.1 	 9.999917612276640e+00 	 6.500035701572794e-04 	 -1.267506872552102e-03 	 5.000082388741529e-03 	 9.999915499770912e+00 	 6.499981691546378e-03 	 -9.875000000000002e-02 	 4.999999999999997e-01 	 -1.405345600791337e-16 	 6.661338147750939e-16 	 0.000000000000000e+00 
0.1 	 9.999904449699571e+00 	 7.000044590467574e-04 	 -1.365008583664050e-03 	 5.000095551669924e-03 	 9.999901999691867e+00 	 6.999977133159095e-03 	 -9.875000000000002e-02 	 4.999999999999998e-01 	 -1.405345600791337e-16 	 4.440892098500626e-16 	 0.000000000000000e+00 
0.1 	 9.999890312104091e+00 	 7.500054844410188e-04 	 -1.462510557547609e-03 	 5.000109689700648e-03 	 9.999887499593939e+00 	 7.499971874753987e-03 	 -9.875000000000002e-02 	 4.999999999999997e-01 	 -1.405345600791337e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.2 	 9.999875199487480e+00 	 8.000066560911617e-04 	 -1.560012812973619e-03 	 5.000124802848831e-03 	 9.999871999474339e+00 	 7.999965866326961e-03 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 6.661338147750939e-16 	 0.000000000000000e+00 
0.2 	 9.999859111846829e+00 	 8.500079837484406e-04 	 -1.657515368713219e-03 	 5.000140891130643e-03 	 9.999855499330081e+00 	 8.499959057873346e-03 	 -9.875000000000003e-02 	 4.999999999999996e-01 	 -2.810691201582674e-16 	 8.881784197001252e-16 	 0.000000000000000e+00 
0.2 	 9.999842049179042e+00 	 9.000094771642772e-04 	 -1.755018243537867e-03 	 5.000157954563302e-03 	 9.999837999157991e+00 	 8.999951399387841e-03 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 6.661338147750939e-16 	 0.000000000000000e+00 
0.2 	 9.999824011480833e+00 	 9.500111460902702e-04 	 -1.852521456219359e-03 	 5.000175993165067e-03 	 9.999819498954700e+00 	 9.499942840864492e-03 	 -9.875000000000005e-02 	 4.999999999999996e-01 	 -4.216036802374012e-16 	 7.771561172376096e-16 	 0.000000000000000e+00 
0.2 	 9.999804998748729e+00 	 1.000013000278206e-03 	 -1.950025025529845e-03 	 5.000195006955239e-03 	 9.999799998716645e+00 	 9.999933332296639e-03 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 6.661338147750939e-16 	 0.000000000000000e+00 
0.2 	 9.999785010979071e+00 	 1.050015049480071e-03 	 -2.047528970241858e-03 	 5.000214995954167e-03 	 9.999779498440073e+00 	 1.049992282367689e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.2 	 9.999764048168011e+00 	 1.100017303448057e-03 	 -2.145033309128325e-03 	 5.000235960183239e-03 	 9.999757998121037e+00 	 1.099991126499706e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 6.661338147750939e-16 	 0.000000000000000e+00 
0.2 	 9.999742110311512e+00 	 1.150019771934577e-03 	 -2.242538060962590e-03 	 5.000257899664891e-03 	 9.999735497755397e+00 	 1.149989860624816e-02 	 -9.875000000000002e-02 	 4.999999999999997e-01 	 -1.405345600791337e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.2 	 9.999719197405353e+00 	 1.200022464692275e-03 	 -2.340043244518437e-03 	 5.000280814422602e-03 	 9.999711997338824e+00 	 1.199988479742036e-02 	 -9.875000000000002e-02 	 4.999999999999997e-01 	 -1.405345600791337e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.2 	 9.999695309445121e+00 	 1.250025391474031e-03 	 -2.437548878570104e-03 	 5.000304704480893e-03 	 9.999687496866791e+00 	 1.249986978850291e-02 	 -9.875000000000002e-02 	 4.999999999999998e-01 	 -1.405345600791337e-16 	 4.440892098500626e-16 	 0.000000000000000e+00 
0.3 	 9.999670446426217e+00 	 1.300028562032980e-03 	 -2.535054981892308e-03 	 5.000329569865330e-03 	 9.999661996334581e+00 	 1.299985352948413e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.3 	 9.999644608343855e+00 	 1.350031986122514e-03 	 -2.632561573260263e-03 	 5.000355410602524e-03 	 9.999635495737287e+00 	 1.349983597035138e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.3 	 9.999617795193062e+00 	 1.400035673496298e-03 	 -2.730068671449697e-03 	 5.000382226720129e-03 	 9.999607995069807e+00 	 1.399981706109100e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.3 	 9.999590006968674e+00 	 1.450039633908280e-03 	 -2.827576295236878e-03 	 5.000410018246844e-03 	 9.999579494326845e+00 	 1.449979675168829e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.3 	 9.999561243665342e+00 	 1.500043877112698e-03 	 -2.925084463398628e-03 	 5.000438785212413e-03 	 9.999549993502916e+00 	 1.499977499212745e-02 	 -9.875000000000005e-02 	 4.999999999999997e-01 	 -4.216036802374012e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.3 	 9.999531505277529e+00 	 1.550048412864093e-03 	 -3.022593194712347e-03 	 5.000468527647621e-03 	 9.999519492592338e+00 	 1.549975173239156e-02 	 -9.875000000000003e-02 	 4.999999999999998e-01 	 -2.810691201582674e-16 	 3.330669073875470e-16 	 0.000000000000000e+00 
0.3 	 9.999500791799509e+00 	 1.600053250917322e-03 	 -3.120102507956031e-03 	 5.000499245584301e-03 	 9.999487991589239e+00 	 1.599972692246254e-02 	 -9.875000000000003e-02 	 4.999999999999998e-01 	 -2.810691201582674e-16 	 3.330669073875470e-16 	 0.000000000000000e+00 
0.3 	 9.999469103225367e+00 	 1.650058401027560e-03 	 -3.217612421908292e-03 	 5.000530939055330e-03 	 9.999455490487556e+00 	 1.649970051232107e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.3 	 9.999436439549005e+00 	 1.700063872950322e-03 	 -3.315122955348377e-03 	 5.000563608094629e-03 	 9.999421989281030e+00 	 1.699967245194663e-02 	 -9.875000000000003e-02 	 4.999999999999996e-01 	 -2.810691201582674e-16 	 7.771561172376096e-16 	 0.000000000000000e+00 
0.4 	 9.999402800764132e+00 	 1.750069676441464e-03 	 -3.412634127056191e-03 	 5.000597252737164e-03 	 9.999387487963213e+00 	 1.749964269131739e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 6.661338147750939e-16 	 0.000000000000000e+00 
0.4 	 9.999368186864274e+00 	 1.800075821257196e-03 	 -3.510145955812313e-03 	 5.000631873018944e-03 	 9.999351986527461e+00 	 1.799961118041021e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
0.4 	 9.999332597842765e+00 	 1.850082317154097e-03 	 -3.607658460398019e-03 	 5.000667468977025e-03 	 9.999315484966939e+00 	 1.849957786920058e-02 	 -9.875000000000003e-02 	 4.999999999999997e-01 	 -2.810691201582674e-16 	 5.551115123125783e-16 	 0.000000000000000e+00 
